港澳
无线新闻,https://ootori.xyz/tv/tvb.php?id=inews
开电视,http://media.fantv.hk/m3u8/archive/channel2.m3u8
凤凰卫视,http://103.140.229.13/zztv/xgdlitv.php?qq625336209&play&vkeys=dmlkJTNEZmhkcyUyM2lkJTNEMg__#tvbus://6VcWe6ABdTke5PBvWQ9Bg3APSDwsQCJjNwjKYtZrU2kMGWJ1dHETNPPsRCGJL#http://223.110.245.138/PLTV/3/224/3221226922/index.m3u8
凤凰资讯,http://103.140.229.13/zztv/xgdlitv.php?qq625336209&play&vkeys=dmlkJTNEZmhkcyUyM2lkJTNEMQ__#tvbus://6VtmWGXBWsZdttRWaZxjXxxMo3SoTzZNp4U9vBJm8WXKUgXLJfUaPgsUR4qUL#http://223.110.245.136/PLTV/3/224/3221226923/index.m3u8
凤凰香港,http://103.140.229.13/zztv/xgdlitv.php?qq625336209&play&vkeys=dmlkJTNEZmhkcyUyM2lkJTNEMw__#tvbus://6BJwgLicQwMHssbeiMJNbwSPoySHTb5voME89ofJKoN8gJ9BrdoXxcRUEdXXE#ttp://223.110.245.136/PLTV/3/224/3221226975/index.m3u8
翡翠台,tvbus://6CYpcABuqf3RrsnjCwViXm3fzZxgeEvjemvxDQf1YHYEBAuJWbsQLesPnnxPt#tvbus://7Q2moGnjSEAaarByLqndnMjwGG8TH7Ty52LLoZHdUGYu3aBLGU 
J2,tvbus://6VBHJgmSsrmSDg1tvDKeV2mUdN1VCbwc1rAqeeDPdvuwUwrYX6NkWrWmuwRC2#tvbus://78gvcckGFWVYye7rfhwQ2WLDXGCRfRkbK1okZBAwwMpzwpz7F9
明珠台,tvbus://61V85DyYVcVZFMY2P5NRc8QM5wvHw6ZfvTDUqhL23AN33vNfKH3X9j4DKoU7r#tvbus://7cNLEHAbLNR7n6FZ112Rxjh1otHUr3d3nQi3yaMcPQAmAbDEQD
无线财经资讯台,tvbus://5abQ59biU9JmSDaVxDMGYqY44R9xq2mpyfMRoiuGuFT7NoXLSkaME7diYrevL 
无线新闻台,tvbus://5VGCBcmwQy56rSi1ZiKRmqbt9M2TK1nJTCG88XE29ZW5x7tWURTeGNDVmqLj8 
有线新闻台,tvbus://5KXsErRUrgRpRJU4sXpNhdZ3K7EX7Zfd1wcaytmrsTknUQ1Dn4MDHEPYmauQo 
